	Name	Twitter_Tweets	Twitter_Following	Twitter_Followers	Twitter_Likes	Facebook_Likes	Facebook_Followers	Telegram_Members	Google_Search_Results
0.0	Mandarin	30		1185	1	791	851	223	298000
0.0	Request Network	236	17	42000	65	4072	4725	13 554	399000
0.0	Debitum Network	342	348	8185	331	19233	20009	12 919	176000
0.0	Swissborg	1382	438	11100	603	32472	33621	4 707	170000
0.0	Darfchain	138	40	346	241	661	701		2930
0.0	BunnyToken	131		2020	14	1146	1248	12 711	132000
0.0	Betex	356	691	4203	1	435	460	14 935	78
0.0	AIcoin	1062	43	1013	29	607	682	325	445000
0.0	Anryze	74	265	3623	10	6207	6451	483	179000
0.0	HIPE	47	69	1806	24			245	403000
0.0	fidentiaX	274	64	3930	139	1916	2014	2 394	139000
0.0	SophiaTX	554	601	16200	334	40570	40775	5 412	192000
0.0	Eticket 4		25	32	2	1817	1919	1 149	4
0.0	Luxcess Group	151	1278	3776	602	2826	2913	448	6070
0.0	Tradershub	117	2254	7375	129	644	686	2 666	52100
0.0	Crypton VC	36	13	152	158	806	810	13	122000
0.0	Evareium	543	1944	1102	272	2047	2117	12 035	51300
0.0	LikeCoin	95	144	2796	45	4038	4144	19 013	9680000
0.0	CyberMiles	422	139	297000	217	222848	221628	64 243	187000
0.0	TIM	1093	26	5321	563	4241	4514	8 165	2440
0.0	The Forge Network	80	50	758	23	6023	6056	845	131000
0.0	Robotina	481	348	6072	58	7756	7988	6 009	39900
0.0	SprintX	374	243	7461	1317	2983	3107	36 730	144000
0.0	CargoCoin	268	13	1391	109	10766	10772	617	31900
0.0	Zen Protocol	196	39	2571	311	6416	6529	6 737	216000
0.0	Handelion					355	370	280	49200
0.0	Adbank	836	42	6399	867	4594	4851	6 530	58
0.0	GymCoin	59	1868	410	611	106	113	306	5
0.0	Everex	513	825	14000	423	7053	7384	4 543	188000
0.0	Ab-chain	208	65	594	13	22885	22922	2 482	352
0.0	Helbiz	213	17	23500	826	58739	59739	21 209	163000
0.0	IZX	178	40	13000	267	9281	9616	2 415	383000
0.0	Digital Way	229	52	117	64	88	92	2 956	1570000
0.0	MEXC	1227	671	922	733	9669	9659	6 576	115000
0.0	SOLAR DAO	265	3084	1158	241	1968	2093	689	282
0.0	EventChain	455	917	31500	376	1507	1555	62 935	169000
0.0	Mirocana	101	1	1850	127	7728	7943	134	45900
0.0	Startima	32	1	1489					
0.0	ClearCoin	370	17	8518	1368	4694	5300	23 792	105000
0.0	SureRemit	287	46	4491	71	2845	2889	2 054	126000
0.0	Marginless	137	13	13200	38	7857	8187	16 307	164000
0.0	BolttCoin	1641	1961	32400	952	51813	52817	64 119	25100
0.0	Lucyd	1032	2086	12000	936	147968	148184	5 370	83600
0.0	Nimfamoney	43	76	1726		891	947	605	48600
0.0	BlockMesh	519	10800	14900	1073	2415	2466	5 165	124000
0.0	CashBag	5084	108	6513	45	8751	8875	997	185000
0.0	Bitcoinus	189	12	7753	181	12626	13051	6 633	9680000
0.0	Iamhero	53	6	3241	1	2476	2558	2 270	1 result
0.0	Orbis	115	48	2878	16	2735	2800	3 111	344
0.0	BGX	293	14	3085	23	6675	6793	5 839	775
0.0	Agrello	777	1831	14200	945	4308	4532	4 789	211000
0.0	carVertical	8		2	4	19107	19916	13 078	177000
0.0	Coinplace					10993	11012	3 893	67300
0.0	VICoin	399	1165	676	76	14033	13915	506	9680000
0.0	Pikciochain	293	365	6453	1112			7 331	108000
0.0	VeriME	231	396	6896	10	122920	123025	37 010	28000
0.0	Aeron	270	36	29400	6	3829	4043	18 845	156
0.0	Datum	1312	2847	36400	534	33916	34289	7 642	223000
0.0	doc.ai	1188	831	2836	825	636	726	1 163	2460000
0.0	Raison								1180
0.0	PlayHall	677		1885	79			4 243	154000
0.0	Playbets	50	22	3110	191	1503	1556	968	80400
0.0	Cash Poker Pro	108	8	863	48			1 503	103000
0.0	BitRent	284	2241	5671	363	4653	4894	12 342	332000
0.0	Stamps	7	1	224	4			30	170000
0.0	JoyToken	6	23	5	14				132000
0.0	RewardMob	869	6363	4805	1091	37951	38015	19 029	46000
0.0	Futourist	173	913	4425	84	6006	6169	7 627	61600
0.0	Dragonglass	83	14	570	13	1649	1708	1 309	47400
0.0	Valorem foundation	737	13100	15400	4679	2175	2264	15 774	26500
0.0	Modex	948	777	8121	832	17209	17386	29 490	100
0.0	Native Video Box	597	150	301	2307	1372	1387	4 424	1050
0.0	Globatalent	734	200	10200	363	1367	1424	25 135	135000
0.0	daseron	100	1008	353	72	138	147		
0.0	ExsulCoin	72	100	1953	7	828	843	92	6230
0.0	OriginTrail	861	534	11700	1763	2429	2585	10 026	151000
0.0	The Bee Token	794	1706	35800	736	86535	88982	32 883	226000
0.0	Karma	108	44	1094	27	1339	1471	855	986
0.0	KickCity	237	125	6640	192	27848	27898	7 309	81700
0.0	Biocoin	1286	428	1279	3102	980	1141	320	556
0.0	Hdac	65	1	3886	6	10738	11353	3 859	108000
0.0	Shopin	774	948	1737	748	1213	1272	12 312	1170
0.0	Chatello	30100	482	10600	347	37191	37168	265	3400
0.0	MeetnGreetMe	1332	639	3168	355	11731	11847		46200
0.0	Mango Startups	78	185	190	63	169	175		272000
0.0	FLOGmall	322	5	6855	3516	3347	3529	6 355	178000
0.0	Alttex	174	1442	10200	8			13 701	34300
0.0	Akaiito	74	74	12100	1	22773	23944	14 571	79100
0.0	iOlite	211	506	1165	803	427	458	6 443	534000
0.0	Eira Cube	229	1996	6463	1348	1550	1603	21	90900
0.0	Airpod	258	114	7038	1632	13733	14271	17 537	361
0.0	Cobinhood	1106	317	52500	818	21990	23176	12 506	239000
0.0	Exenium	135	1	1051	31	4094	4268	2 548	71000
0.0	Revain	643	201	6395	283	104286	104505	6 254	212000
0.0	Ignite Ratings	715	69	14000	65	1561	1616	5 304	332000
0.0	LiveTree Adept	4201	837	8537	15600			3 764	162000
0.0	Carboneum	138	69	19800	11	9291	9546	1 631	386
0.0	Miner One	76		1091		24002	24408	7 579	635000
0.0	PumaPay	552	437	4496	2986	3040	3201	16 741	39000
0.0	SGPay	85		929	81	2949	2986	11 663	2
0.0	Market.space	608	134	854	524	1334	1448	11 545	7640000
0.0	ChronoBase	11	26	152	2	3845	3842	1 907	136000
0.0	Bitxoxo	643	51	4665	93	31542	31599	83 285	238000
0.0	OpenZen	59	1761	849	12	6319	6235	59	132000
0.0	FIXY Network							45	405000
0.0	ZPER	147	29	7180	81	11444	11487	15 011	137000
0.0	Publica	877	769	5156	459	6439	6516	1 237	586
0.0	WordCoin	97	2	1903	3	2570	2717	882	193000
0.0	Inspeer	94	107	2058	17	1832	1953		61500
0.0	Cube	999	2386	4702	1232			1 579	94
0.0	Coinhealth								6950
0.0	TokenGo					6758	7059	2 512	131000
0.0	Camonroad	20	16	30	15	436	444	32	4050
0.0	Sharpe Capital	186	1676	2909	818	1491	1582	2 654	210000
0.0	FCFL	3744	1036	3649	822	18363	18380	43 020	106000
0.0	Rentything	166	775	1444	50	324	332	654	1430
0.0	Puregold	2	1	125		2055	2078	2 197	15000
0.0	Cubaaz	459	127	151	386				33500
0.0	Otppay	175	166	5002	103	509	548	755	87800
0.0	BeOne	68	25	1916	2	1257	1324	86	2640
0.0	KexCoin	127	447	3978	967	3585	3669	306	55900
0.0	Unilot	80	289	2810		238	253		6
0.0	AdSigma	208	86	7382	23	1947	2057	24 671	69200
0.0	InsureX					1432	1589		481000
0.0	Litra Coin	326	1	707	156	235	244		219000
0.0	Moms Avenue								417000
0.0	CrowdCoinage	102	795	2976	21	6936	7044	7 274	146000
0.0	Engagement Token							2 135	202000
0.0	Medichain	869	1584	4560	123	14484	14723	16 491	28700
0.0	AdBlurb	63	20	1678	2	575	604	1 457	21100
0.0	Bonkers							6 514	28600
0.0	Shopiblock	159	657	25600	169	20920	21905	29 389	9380
0.0	Neblio	180	799	39900	158	45958	46125	477	261000
0.0	DCX					13754	13767		88
0.0	HERO Token	658	1	2329	83	1150	1266	6 913	513000
0.0	PayPro	490	2848	15300	565	2023	2098	2 656	132
0.0	Power Ledger	3492	2969	86300	2497	20612	22641	16 317	388000
0.0	WishFinance	82	3060	2800		2759	2891	581	141000
0.0	AdMine	127	41	920		10002	10027	207	73
0.0	APPICS	241	61	3863	327	3558	3697	19 923	3040000
0.0	GoChain	542	98	4273	1264	3821	3875	8 835	463000
0.0	The Deal Coin	431	125	9821	349	545	571	13 795	8270000
0.0	FundCoin								522000
0.0	Rpay	156	41	2204	10	66140	66150	256	300
0.0	Rhea								29600
0.0	Enjoy life	75	1782	2215	2	1046	1096	1 279	169000
0.0	Thrive	158	1339	5830	39	28304	28530	35 091	215000
0.0	Equitybase	76	37	13700	31	11423	12516	15 166	62000
0.0	Safinus	73	67	1502	17	5657	5694	3 927	104000
0.0	Property Coin	322	2160	1610	401	677	710	2 555	512000
0.0	ArchiCoin	36	2	5243		5298	5488	5 648	41900
0.0	ODMCoin	191	116	963	191			2 760	118000
0.0	Synapse	845	471	21900	994			32 240	181000
0.0	Nitro	609	2147	3836	1845	21543	21646	92	6030
0.0	Smart holdem	386	1250	3865	183	2358	2400	1 750	388000
0.0	Relakes	17	26	117	6				150000
0.0	Zabercoin								134000
0.0	eGold	196	837	3227	315	1362	1451	2 011	75100
0.0	Skraps	596	3012	5130	4972	4950	5124	12 378	59500
0.0	Lightcash	70	812	12700		11454	14362		53300
0.0	Monkey Capital								224000
0.0	Multibot	72		789		570	625	379	271000
0.0	Buron	21	83	332	42	386	404	271	422000
0.0	Mining now	112	11	12		19	25		283000
0.0	charitySPACE	35	790	274	27	955	957	52	288000
0.0	Oris.Space	35	17	109	4	1978	2067	2 009	137000
0.0	Utemis	171	362	1913	5	1927	1995	2 158	38200
0.0	Real Casino	40	530	3847		5182	5259	693	565000
0.0	KWHCoin	1909	47	9347	1122	2959	3175		24200
0.0	Rexpax	117	239	1288	109	547	568	353	41900
0.0	BlockNubie	6923	3185	2846	6441	829	807	23 168	32800
0.0	CellBlocks	38	23	10500	5	1139	1318	5 418	180000
0.0	Zloadr	2684	4	27800	178	93911	94235	59	17300
0.0	CoinCrowd					6428	6504	43 411	10200
0.0	Earth Token	504	3435	15800	128	13029	13578	53	414000
0.0	Smartlands	165	147	2047	30	1523	1595	1 742	145000
0.0	Fund Platform	100	70	619	28	569	614	1 210	6200000
